Idx,Ratio,Train,Val,Stuff,CARLA_ID,CARLA_NAME,Name,,,,,,,,,,,,,,
128,0.0004,347,36,0,10,Vehicles,bicycle,bike,wheel,cycle,,,,,,,,,,,
129,0.0004,52,5,1,3,,lake,,,,,,,,,,,,,,
130,0.0004,246,22,0,3,,dishwasher,dish,washer,dishwashing,machine,,,,,,,,,,
131,0.0004,108,13,0,3,,screen,silver,screen,projection,screen,,,,,,,,,,
132,0.0004,201,30,0,3,,blanket,cover,,,,,,,,,,,,,
133,0.0004,285,21,0,3,,sculpture,,,,,,,,,,,,,,
134,0.0004,268,27,0,3,,hood,exhaust,hood,,,,,,,,,,,,
135,0.0003,1020,108,0,3,,sconce,,,,,,,,,,,,,,
136,0.0003,1282,122,0,3,,vase,,,,,,,,,,,,,,
137,0.0003,528,65,0,12,TrafficSigns,traffic,light,traffic,signal,stoplight,,,,,,,,,,
138,0.0003,453,57,0,3,,tray,,,,,,,,,,,,,,
139,0.0003,671,100,0,3,,ashcan,trash,can,garbage,can,wastebin,ash,bin,ash-bin,ashbin,dustbin,trash,barrel,trash,bin
140,0.0003,397,44,0,3,,fan,,,,,,,,,,,,,,
141,0.0003,92,8,1,3,,pier,wharf,wharfage,dock,,,,,,,,,,,
142,0.0003,228,18,0,3,,crt,screen,,,,,,,,,,,,,
143,0.0003,570,59,0,3,,plate,,,,,,,,,,,,,,
144,0.0003,217,22,0,3,,monitor,monitoring,device,,,,,,,,,,,,
145,0.0003,206,19,0,3,,bulletin,board,notice,board,,,,,,,,,,,
146,0.0003,130,14,0,3,,shower,,,,,,,,,,,,,,
147,0.0003,178,28,0,3,,radiator,,,,,,,,,,,,,,
148,0.0002,504,57,0,3,,glass,drinking,glass,,,,,,,,,,,,
149,0.0002,775,96,0,3,,clock,,,,,,,,,,,,,,
150,0.0002,421,56,0,3,,flag,,,,,,,,,,,,,,
